--- Atoms: 
CONJESTED('927_899') Truth=[0.14]
CONJESTED('462_1133') Truth=[1]
CONJESTED('934_169') Truth=[0.6]
CONJESTED('888_729') Truth=[0.5]
CONJESTED('1283_679') Truth=[0.05]
CONJESTED('130_573') Truth=[0.2]
CONJESTED('133_1062') Truth=[0.41]
CONJESTED('1008_1061') Truth=[0.28]
CONJESTED('369_298') Truth=[0.39]
CONJESTED('165_418') Truth=[0.31]
CONJESTED('1147_339') Truth=[0.38]
CONJESTED('1275_356') Truth=[0.22]
CONJESTED('356_272') Truth=[0.16]
CONJESTED('808_393') Truth=[0.75]
CONJESTED('61_187') Truth=[0.12]
CONJESTED('1072_506') Truth=[0.42]
CONJESTED('276_1145') Truth=[0.67]
CONJESTED('1206_1131') Truth=[0.34]
CONJESTED('3_785') Truth=[0]
CONJESTED('508_188') Truth=[0.81]
CONJESTED('1376_360') Truth=[0.04]
CONJESTED('1116_1293') Truth=[0.25]
CONJESTED('124_870') Truth=[0]
CONJESTED('725_676') Truth=[0.46]
CONJESTED('450_1000') Truth=[1]
CONJESTED('655_1110') Truth=[0.84]
CONJESTED('269_697') Truth=[0]
CONJESTED('45_939') Truth=[0.5]
CONJESTED('143_904') Truth=[0.47]
CONJESTED('890_586') Truth=[0.05]
CONJESTED('673_925') Truth=[0.01]
CONJESTED('683_265') Truth=[0.05]
CONJESTED('1274_967') Truth=[0]
CONJESTED('322_823') Truth=[0.67]
CONJESTED('582_246') Truth=[0.01]
CONJESTED('449_1105') Truth=[0.5]
CONJESTED('1062_133') Truth=[0.23]
CONJESTED('218_584') Truth=[0.18]
CONJESTED('175_130') Truth=[0.07]
CONJESTED('389_1023') Truth=[0.7]
CONJESTED('441_293') Truth=[1]
CONJESTED('604_776') Truth=[0.55]
CONJESTED('833_778') Truth=[0.12]
CONJESTED('1002_974') Truth=[0.45]
CONJESTED('1169_691') Truth=[0]
CONJESTED('274_1025') Truth=[0.72]
CONJESTED('188_508') Truth=[0.5]
CONJESTED('548_121') Truth=[0.44]
CONJESTED('105_152') Truth=[0.19]
CONJESTED('284_1232') Truth=[0.06]
CONJESTED('1104_552') Truth=[0]
CONJESTED('718_1056') Truth=[0.8]
CONJESTED('1244_938') Truth=[0.02]
CONJESTED('221_803') Truth=[0.04]
CONJESTED('934_1212') Truth=[0.44]
CONJESTED('671_924') Truth=[1]
CONJESTED('1331_942') Truth=[0.15]
CONJESTED('704_752') Truth=[0.44]
CONJESTED('427_1279') Truth=[0.42]
CONJESTED('600_55') Truth=[0.52]
CONJESTED('1287_934') Truth=[0.37]
CONJESTED('123_1004') Truth=[0.87]
CONJESTED('133_160') Truth=[0.39]
CONJESTED('233_370') Truth=[0.2]
CONJESTED('145_995') Truth=[0.53]
CONJESTED('1074_99') Truth=[0.5]
CONJESTED('713_259') Truth=[1]
CONJESTED('246_775') Truth=[0.02]
CONJESTED('932_530') Truth=[0]
CONJESTED('1073_990') Truth=[0.43]
CONJESTED('286_1359') Truth=[0.28]
CONJESTED('1349_1284') Truth=[0.16]
CONJESTED('1249_1186') Truth=[0.07]
CONJESTED('201_1266') Truth=[0.08]
CONJESTED('631_744') Truth=[0.5]
CONJESTED('160_126') Truth=[0.49]
CONJESTED('55_1331') Truth=[0.63]
CONJESTED('574_756') Truth=[0.03]
CONJESTED('788_960') Truth=[1]
CONJESTED('1331_711') Truth=[0.11]
CONJESTED('1377_1136') Truth=[0.45]
CONJESTED('536_3') Truth=[0]
CONJESTED('939_1112') Truth=[0.37]
CONJESTED('580_1307') Truth=[0.7]
CONJESTED('198_299') Truth=[0.51]
CONJESTED('362_1298') Truth=[0]
CONJESTED('1051_613') Truth=[0.05]
CONJESTED('476_143') Truth=[0.5]
CONJESTED('1043_1147') Truth=[0.2]
CONJESTED('413_81') Truth=[1]
CONJESTED('633_121') Truth=[0.5]
CONJESTED('181_263') Truth=[0.13]
CONJESTED('34_181') Truth=[0.05]
CONJESTED('776_1377') Truth=[0.3]
CONJESTED('87_716') Truth=[0.05]
CONJESTED('625_417') Truth=[0.49]
CONJESTED('780_873') Truth=[0.59]
CONJESTED('126_278') Truth=[0.6]
CONJESTED('288_534') Truth=[1]
CONJESTED('284_1013') Truth=[0.41]
CONJESTED('818_965') Truth=[0.26]
CONJESTED('53_202') Truth=[0.7]
CONJESTED('372_725') Truth=[0.14]
CONJESTED('849_117') Truth=[0]
CONJESTED('880_606') Truth=[0]
CONJESTED('696_1036') Truth=[0.64]
CONJESTED('488_747') Truth=[0.74]
CONJESTED('997_411') Truth=[0.21]
CONJESTED('613_1051') Truth=[0.14]
CONJESTED('741_1013') Truth=[0.5]
CONJESTED('1083_275') Truth=[0.06]
CONJESTED('105_169') Truth=[0.59]
CONJESTED('1380_1163') Truth=[0.16]
CONJESTED('563_1170') Truth=[0.17]
CONJESTED('613_1052') Truth=[0.06]
CONJESTED('1147_786') Truth=[0.05]
CONJESTED('669_448') Truth=[0.96]
CONJESTED('1147_547') Truth=[0.36]
CONJESTED('946_483') Truth=[0.42]
CONJESTED('728_337') Truth=[0.5]
CONJESTED('1139_868') Truth=[1]
CONJESTED('335_1027') Truth=[0.5]
CONJESTED('664_373') Truth=[0.13]
CONJESTED('194_418') Truth=[0.13]
CONJESTED('259_668') Truth=[0.41]
CONJESTED('1204_77') Truth=[0.76]
CONJESTED('204_13') Truth=[0.02]
CONJESTED('864_434') Truth=[0.04]
CONJESTED('331_933') Truth=[1]
CONJESTED('80_791') Truth=[0.38]
CONJESTED('261_106') Truth=[0]
CONJESTED('1179_761') Truth=[0.56]
CONJESTED('1010_49') Truth=[0.05]
CONJESTED('125_486') Truth=[0.5]
CONJESTED('437_893') Truth=[0.61]
CONJESTED('478_141') Truth=[0.59]
CONJESTED('1367_131') Truth=[0.5]
CONJESTED('533_1116') Truth=[0.43]
CONJESTED('699_1218') Truth=[0.23]
CONJESTED('307_940') Truth=[0.15]
CONJESTED('475_963') Truth=[0.48]
CONJESTED('1005_212') Truth=[0.01]
CONJESTED('282_858') Truth=[0.18]
CONJESTED('230_472') Truth=[0.28]
CONJESTED('494_596') Truth=[0.5]
CONJESTED('459_959') Truth=[1]
CONJESTED('907_397') Truth=[0.28]
CONJESTED('243_999') Truth=[0.38]
CONJESTED('1253_1040') Truth=[0.26]
CONJESTED('344_1076') Truth=[0.06]
CONJESTED('453_662') Truth=[1]
CONJESTED('42_251') Truth=[0.51]
CONJESTED('204_412') Truth=[0]
CONJESTED('1159_1122') Truth=[0.13]
CONJESTED('115_622') Truth=[0.14]
CONJESTED('1205_301') Truth=[0.8]
CONJESTED('403_1117') Truth=[0.6]
CONJESTED('1135_155') Truth=[0]
CONJESTED('877_1024') Truth=[0.41]
CONJESTED('957_1006') Truth=[0.5]
CONJESTED('790_1083') Truth=[0.02]
CONJESTED('533_1107') Truth=[1]
CONJESTED('324_731') Truth=[0.7]
CONJESTED('727_557') Truth=[0.04]
CONJESTED('1167_1318') Truth=[0]
CONJESTED('1067_651') Truth=[1]
